,movie,year,imdb,metascore,votes,n_imdb
0,Gladiator,2000,8.5,67,1340138,85.0
1,Memento,2000,8.4,80,1124695,84.0
2,Snatch,2000,8.3,55,781349,83.0
3,Requiem for a Dream,2000,8.3,68,766108,83.0
4,X-Men,2000,7.4,64,570335,74.0
5,Cast Away,2000,7.8,73,523682,78.0
6,American Psycho,2000,7.6,64,489256,76.0
7,Unbreakable,2000,7.3,62,386823,73.0
8,Mission: Impossible II,2000,6.1,59,314523,61.0
9,Meet the Parents,2000,7.0,73,310960,70.0
10,"O Brother, Where Art Thou?",2000,7.7,69,286304,77.0
11,Gone in Sixty Seconds,2000,6.5,35,260399,65.0
12,The Patriot,2000,7.2,63,254411,72.0
13,Wo hu cang long,2000,7.8,94,253046,78.0
14,Almost Famous,2000,7.9,90,252378,79.0
15,Scary Movie,2000,6.2,48,232106,62.0
16,Final Destination,2000,6.7,36,229597,67.0
17,Pitch Black,2000,7.1,49,225270,71.0
18,Amores perros,2000,8.1,83,223549,81.0
19,The Beach,2000,6.7,43,223013,67.0
20,"Me, Myself & Irene",2000,6.6,49,222208,66.0
21,How the Grinch Stole Christmas,2000,6.2,46,215645,62.0
22,Remember the Titans,2000,7.8,48,197894,78.0
23,Traffic,2000,7.6,86,195628,76.0
24,What Women Want,2000,6.4,47,191551,64.0
25,Miss Congeniality,2000,6.3,43,187885,63.0
26,The Emperor's New Groove,2000,7.4,70,180273,74.0
27,Chocolat,2000,7.2,64,177718,72.0
28,Chicken Run,2000,7.0,88,176996,70.0
29,Charlie's Angels,2000,5.5,52,176158,55.0
30,Erin Brockovich,2000,7.3,73,174750,73.0
31,Batoru rowaiaru,2000,7.6,81,168979,76.0
32,High Fidelity,2000,7.5,79,168060,75.0
33,Road Trip,2000,6.4,55,157997,64.0
34,The Perfect Storm,2000,6.4,59,156238,64.0
35,"Dude, Where's My Car?",2000,5.5,30,134370,55.0
36,Billy Elliot,2000,7.7,74,126696,77.0
37,Fa yeung nin wah,2000,8.1,85,124167,81.0
38,Scream 3,2000,5.6,56,123909,56.0
39,Hollow Man,2000,5.8,24,123638,58.0
40,Shanghai Noon,2000,6.6,77,119116,66.0
41,What Lies Beneath,2000,6.6,51,117807,66.0
42,The 6th Day,2000,5.9,49,116460,59.0
43,Pay It Forward,2000,7.2,40,112679,72.0
44,The Whole Nine Yards,2000,6.7,47,110042,67.0
45,Men of Honor,2000,7.2,56,107013,72.0
46,Coyote Ugly,2000,5.7,27,106432,57.0
47,The Family Man,2000,6.8,42,103974,68.0
48,Gladiator,2000,8.5,67,1340138,85.0
49,Memento,2000,8.4,80,1124695,84.0
50,Snatch,2000,8.3,55,781349,83.0
51,Requiem for a Dream,2000,8.3,68,766108,83.0
52,X-Men,2000,7.4,64,570335,74.0
53,Cast Away,2000,7.8,73,523682,78.0
54,American Psycho,2000,7.6,64,489256,76.0
55,Unbreakable,2000,7.3,62,386823,73.0
56,Mission: Impossible II,2000,6.1,59,314523,61.0
57,Meet the Parents,2000,7.0,73,310960,70.0
58,"O Brother, Where Art Thou?",2000,7.7,69,286304,77.0
59,Gone in Sixty Seconds,2000,6.5,35,260399,65.0
60,The Patriot,2000,7.2,63,254411,72.0
61,Wo hu cang long,2000,7.8,94,253046,78.0
62,Almost Famous,2000,7.9,90,252378,79.0
63,Scary Movie,2000,6.2,48,232106,62.0
64,Final Destination,2000,6.7,36,229597,67.0
65,Pitch Black,2000,7.1,49,225270,71.0
66,Amores perros,2000,8.1,83,223549,81.0
67,The Beach,2000,6.7,43,223013,67.0
68,"Me, Myself & Irene",2000,6.6,49,222208,66.0
69,How the Grinch Stole Christmas,2000,6.2,46,215645,62.0
70,Remember the Titans,2000,7.8,48,197894,78.0
71,Traffic,2000,7.6,86,195628,76.0
72,What Women Want,2000,6.4,47,191551,64.0
73,Miss Congeniality,2000,6.3,43,187885,63.0
74,The Emperor's New Groove,2000,7.4,70,180273,74.0
75,Chocolat,2000,7.2,64,177718,72.0
76,Chicken Run,2000,7.0,88,176996,70.0
77,Charlie's Angels,2000,5.5,52,176158,55.0
78,Erin Brockovich,2000,7.3,73,174750,73.0
79,Batoru rowaiaru,2000,7.6,81,168979,76.0
80,High Fidelity,2000,7.5,79,168060,75.0
81,Road Trip,2000,6.4,55,157997,64.0
82,The Perfect Storm,2000,6.4,59,156238,64.0
83,"Dude, Where's My Car?",2000,5.5,30,134370,55.0
84,Billy Elliot,2000,7.7,74,126696,77.0
85,Fa yeung nin wah,2000,8.1,85,124167,81.0
86,Scream 3,2000,5.6,56,123909,56.0
87,Hollow Man,2000,5.8,24,123638,58.0
88,Shanghai Noon,2000,6.6,77,119116,66.0
89,What Lies Beneath,2000,6.6,51,117807,66.0
90,The 6th Day,2000,5.9,49,116460,59.0
91,Pay It Forward,2000,7.2,40,112679,72.0
92,The Whole Nine Yards,2000,6.7,47,110042,67.0
93,Men of Honor,2000,7.2,56,107013,72.0
94,Coyote Ugly,2000,5.7,27,106432,57.0
95,The Family Man,2000,6.8,42,103974,68.0
96,Gladiator,2000,8.5,67,1340138,85.0
97,Memento,2000,8.4,80,1124695,84.0
98,Snatch,2000,8.3,55,781349,83.0
99,Requiem for a Dream,2000,8.3,68,766108,83.0
100,X-Men,2000,7.4,64,570335,74.0
101,Cast Away,2000,7.8,73,523682,78.0
102,American Psycho,2000,7.6,64,489256,76.0
103,Unbreakable,2000,7.3,62,386823,73.0
104,Mission: Impossible II,2000,6.1,59,314523,61.0
105,Meet the Parents,2000,7.0,73,310960,70.0
106,"O Brother, Where Art Thou?",2000,7.7,69,286304,77.0
107,Gone in Sixty Seconds,2000,6.5,35,260399,65.0
108,The Patriot,2000,7.2,63,254411,72.0
109,Wo hu cang long,2000,7.8,94,253046,78.0
110,Almost Famous,2000,7.9,90,252378,79.0
111,Scary Movie,2000,6.2,48,232106,62.0
112,Final Destination,2000,6.7,36,229597,67.0
113,Pitch Black,2000,7.1,49,225270,71.0
114,Amores perros,2000,8.1,83,223549,81.0
115,The Beach,2000,6.7,43,223013,67.0
116,"Me, Myself & Irene",2000,6.6,49,222208,66.0
117,How the Grinch Stole Christmas,2000,6.2,46,215645,62.0
118,Remember the Titans,2000,7.8,48,197894,78.0
119,Traffic,2000,7.6,86,195628,76.0
120,What Women Want,2000,6.4,47,191551,64.0
121,Miss Congeniality,2000,6.3,43,187885,63.0
122,The Emperor's New Groove,2000,7.4,70,180273,74.0
123,Chocolat,2000,7.2,64,177718,72.0
124,Chicken Run,2000,7.0,88,176996,70.0
125,Charlie's Angels,2000,5.5,52,176158,55.0
126,Erin Brockovich,2000,7.3,73,174750,73.0
127,Batoru rowaiaru,2000,7.6,81,168979,76.0
128,High Fidelity,2000,7.5,79,168060,75.0
129,Road Trip,2000,6.4,55,157997,64.0
130,The Perfect Storm,2000,6.4,59,156238,64.0
131,"Dude, Where's My Car?",2000,5.5,30,134370,55.0
132,Billy Elliot,2000,7.7,74,126696,77.0
133,Fa yeung nin wah,2000,8.1,85,124167,81.0
134,Scream 3,2000,5.6,56,123909,56.0
135,Hollow Man,2000,5.8,24,123638,58.0
136,Shanghai Noon,2000,6.6,77,119116,66.0
137,What Lies Beneath,2000,6.6,51,117807,66.0
138,The 6th Day,2000,5.9,49,116460,59.0
139,Pay It Forward,2000,7.2,40,112679,72.0
140,The Whole Nine Yards,2000,6.7,47,110042,67.0
141,Men of Honor,2000,7.2,56,107013,72.0
142,Coyote Ugly,2000,5.7,27,106432,57.0
143,The Family Man,2000,6.8,42,103974,68.0
144,Gladiator,2000,8.5,67,1340138,85.0
145,Memento,2000,8.4,80,1124695,84.0
146,Snatch,2000,8.3,55,781349,83.0
147,Requiem for a Dream,2000,8.3,68,766108,83.0
148,X-Men,2000,7.4,64,570335,74.0
149,Cast Away,2000,7.8,73,523682,78.0
150,American Psycho,2000,7.6,64,489256,76.0
151,Unbreakable,2000,7.3,62,386823,73.0
152,Mission: Impossible II,2000,6.1,59,314523,61.0
153,Meet the Parents,2000,7.0,73,310960,70.0
154,"O Brother, Where Art Thou?",2000,7.7,69,286304,77.0
155,Gone in Sixty Seconds,2000,6.5,35,260399,65.0
156,The Patriot,2000,7.2,63,254411,72.0
157,Wo hu cang long,2000,7.8,94,253046,78.0
158,Almost Famous,2000,7.9,90,252378,79.0
159,Scary Movie,2000,6.2,48,232106,62.0
160,Final Destination,2000,6.7,36,229597,67.0
161,Pitch Black,2000,7.1,49,225270,71.0
162,Amores perros,2000,8.1,83,223549,81.0
163,The Beach,2000,6.7,43,223013,67.0
164,"Me, Myself & Irene",2000,6.6,49,222208,66.0
165,How the Grinch Stole Christmas,2000,6.2,46,215645,62.0
166,Remember the Titans,2000,7.8,48,197894,78.0
167,Traffic,2000,7.6,86,195628,76.0
168,What Women Want,2000,6.4,47,191551,64.0
169,Miss Congeniality,2000,6.3,43,187885,63.0
170,The Emperor's New Groove,2000,7.4,70,180273,74.0
171,Chocolat,2000,7.2,64,177718,72.0
172,Chicken Run,2000,7.0,88,176996,70.0
173,Charlie's Angels,2000,5.5,52,176158,55.0
174,Erin Brockovich,2000,7.3,73,174750,73.0
175,Batoru rowaiaru,2000,7.6,81,168979,76.0
176,High Fidelity,2000,7.5,79,168060,75.0
177,Road Trip,2000,6.4,55,157997,64.0
178,The Perfect Storm,2000,6.4,59,156238,64.0
179,"Dude, Where's My Car?",2000,5.5,30,134370,55.0
180,Billy Elliot,2000,7.7,74,126696,77.0
181,Fa yeung nin wah,2000,8.1,85,124167,81.0
182,Scream 3,2000,5.6,56,123909,56.0
183,Hollow Man,2000,5.8,24,123638,58.0
184,Shanghai Noon,2000,6.6,77,119116,66.0
185,What Lies Beneath,2000,6.6,51,117807,66.0
186,The 6th Day,2000,5.9,49,116460,59.0
187,Pay It Forward,2000,7.2,40,112679,72.0
188,The Whole Nine Yards,2000,6.7,47,110042,67.0
189,Men of Honor,2000,7.2,56,107013,72.0
190,Coyote Ugly,2000,5.7,27,106432,57.0
191,The Family Man,2000,6.8,42,103974,68.0
192,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,1659878,88.0
193,A Beautiful Mind,2001,8.2,72,847986,82.0
194,"Monsters, Inc.",2001,8.1,79,814823,81.0
195,Donnie Darko,2001,8.0,88,739511,80.0
196,Amélie,2001,8.3,69,703238,83.0
197,Harry Potter and the Sorcerer's Stone,2001,7.6,64,657296,76.0
198,Sen to Chihiro no kamikakushi,2001,8.6,96,650324,86.0
199,Shrek,2001,7.8,84,613454,78.0
200,Ocean's Eleven,2001,7.7,74,515935,77.0
201,Training Day,2001,7.7,69,389813,77.0
202,Black Hawk Down,2001,7.7,74,363980,77.0
203,The Fast and the Furious,2001,6.8,58,347591,68.0
204,The Others,2001,7.6,74,337392,76.0
205,Mulholland Dr.,2001,7.9,85,321553,79.0
206,Pearl Harbor,2001,6.2,44,311374,62.0
207,The Mummy Returns,2001,6.4,48,300434,64.0
208,Jurassic Park III,2001,5.9,42,295790,59.0
209,A.I. Artificial Intelligence,2001,7.2,65,290094,72.0
210,The Royal Tenenbaums,2001,7.6,76,266583,76.0
211,Moulin Rouge!,2001,7.6,66,266464,76.0
212,Hannibal,2001,6.8,57,254527,68.0
213,Vanilla Sky,2001,6.9,45,248737,69.0
214,Zoolander,2001,6.5,61,246201,65.0
215,Enemy at the Gates,2001,7.6,53,243524,76.0
216,Blow,2001,7.6,52,240526,76.0
217,American Pie 2,2001,6.4,43,239938,64.0
218,Bridget Jones's Diary,2001,6.7,66,225957,67.0
219,Planet of the Apes,2001,5.7,50,210202,57.0
220,Rush Hour 2,2001,6.6,48,199673,66.0
221,Lara Croft: Tomb Raider,2001,5.8,33,197801,58.0
222,Legally Blonde,2001,6.3,59,185636,63.0
223,Swordfish,2001,6.5,32,176077,65.0
224,K-PAX,2001,7.4,49,175049,74.0
225,A Knight's Tale,2001,6.9,56,171531,69.0
226,Scary Movie 2,2001,5.3,29,149581,53.0
227,Jay and Silent Bob Strike Back,2001,6.8,51,148390,68.0
228,From Hell,2001,6.8,54,146761,68.0
229,Spy Game,2001,7.1,63,145373,71.0
230,I Am Sam,2001,7.7,28,142794,77.0
231,The Princess Diaries,2001,6.3,52,128392,63.0
232,Shallow Hal,2001,5.9,48,127123,59.0
233,The Score,2001,6.8,71,121081,68.0
234,Evolution,2001,6.1,40,119343,61.0
235,Y tu mamá también,2001,7.6,88,115740,76.0
236,Ghost World,2001,7.3,88,113010,73.0
237,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,1659878,88.0
238,A Beautiful Mind,2001,8.2,72,847986,82.0
239,"Monsters, Inc.",2001,8.1,79,814823,81.0
240,Donnie Darko,2001,8.0,88,739511,80.0
241,Amélie,2001,8.3,69,703238,83.0
242,Harry Potter and the Sorcerer's Stone,2001,7.6,64,657296,76.0
243,Sen to Chihiro no kamikakushi,2001,8.6,96,650324,86.0
244,Shrek,2001,7.8,84,613454,78.0
245,Ocean's Eleven,2001,7.7,74,515935,77.0
246,Training Day,2001,7.7,69,389813,77.0
247,Black Hawk Down,2001,7.7,74,363980,77.0
248,The Fast and the Furious,2001,6.8,58,347591,68.0
249,The Others,2001,7.6,74,337392,76.0
250,Mulholland Dr.,2001,7.9,85,321553,79.0
251,Pearl Harbor,2001,6.2,44,311374,62.0
252,The Mummy Returns,2001,6.4,48,300434,64.0
253,Jurassic Park III,2001,5.9,42,295790,59.0
254,A.I. Artificial Intelligence,2001,7.2,65,290094,72.0
255,The Royal Tenenbaums,2001,7.6,76,266583,76.0
256,Moulin Rouge!,2001,7.6,66,266464,76.0
257,Hannibal,2001,6.8,57,254527,68.0
258,Vanilla Sky,2001,6.9,45,248737,69.0
259,Zoolander,2001,6.5,61,246201,65.0
260,Enemy at the Gates,2001,7.6,53,243524,76.0
261,Blow,2001,7.6,52,240526,76.0
262,American Pie 2,2001,6.4,43,239938,64.0
263,Bridget Jones's Diary,2001,6.7,66,225957,67.0
264,Planet of the Apes,2001,5.7,50,210202,57.0
265,Rush Hour 2,2001,6.6,48,199673,66.0
266,Lara Croft: Tomb Raider,2001,5.8,33,197801,58.0
267,Legally Blonde,2001,6.3,59,185636,63.0
268,Swordfish,2001,6.5,32,176077,65.0
269,K-PAX,2001,7.4,49,175049,74.0
270,A Knight's Tale,2001,6.9,56,171531,69.0
271,Scary Movie 2,2001,5.3,29,149581,53.0
272,Jay and Silent Bob Strike Back,2001,6.8,51,148390,68.0
273,From Hell,2001,6.8,54,146761,68.0
274,Spy Game,2001,7.1,63,145373,71.0
275,I Am Sam,2001,7.7,28,142794,77.0
276,The Princess Diaries,2001,6.3,52,128392,63.0
277,Shallow Hal,2001,5.9,48,127123,59.0
278,The Score,2001,6.8,71,121081,68.0
279,Evolution,2001,6.1,40,119343,61.0
280,Y tu mamá también,2001,7.6,88,115740,76.0
281,Ghost World,2001,7.3,88,113010,73.0
282,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,1659878,88.0
283,A Beautiful Mind,2001,8.2,72,847986,82.0
284,"Monsters, Inc.",2001,8.1,79,814823,81.0
285,Donnie Darko,2001,8.0,88,739511,80.0
286,Amélie,2001,8.3,69,703238,83.0
287,Harry Potter and the Sorcerer's Stone,2001,7.6,64,657296,76.0
288,Sen to Chihiro no kamikakushi,2001,8.6,96,650324,86.0
289,Shrek,2001,7.8,84,613454,78.0
290,Ocean's Eleven,2001,7.7,74,515935,77.0
291,Training Day,2001,7.7,69,389813,77.0
292,Black Hawk Down,2001,7.7,74,363980,77.0
293,The Fast and the Furious,2001,6.8,58,347591,68.0
294,The Others,2001,7.6,74,337392,76.0
295,Mulholland Dr.,2001,7.9,85,321553,79.0
296,Pearl Harbor,2001,6.2,44,311374,62.0
297,The Mummy Returns,2001,6.4,48,300434,64.0
298,Jurassic Park III,2001,5.9,42,295790,59.0
299,A.I. Artificial Intelligence,2001,7.2,65,290094,72.0
300,The Royal Tenenbaums,2001,7.6,76,266583,76.0
301,Moulin Rouge!,2001,7.6,66,266464,76.0
302,Hannibal,2001,6.8,57,254527,68.0
303,Vanilla Sky,2001,6.9,45,248737,69.0
304,Zoolander,2001,6.5,61,246201,65.0
305,Enemy at the Gates,2001,7.6,53,243524,76.0
306,Blow,2001,7.6,52,240526,76.0
307,American Pie 2,2001,6.4,43,239938,64.0
308,Bridget Jones's Diary,2001,6.7,66,225957,67.0
309,Planet of the Apes,2001,5.7,50,210202,57.0
310,Rush Hour 2,2001,6.6,48,199673,66.0
311,Lara Croft: Tomb Raider,2001,5.8,33,197801,58.0
312,Legally Blonde,2001,6.3,59,185636,63.0
313,Swordfish,2001,6.5,32,176077,65.0
314,K-PAX,2001,7.4,49,175049,74.0
315,A Knight's Tale,2001,6.9,56,171531,69.0
316,Scary Movie 2,2001,5.3,29,149581,53.0
317,Jay and Silent Bob Strike Back,2001,6.8,51,148390,68.0
318,From Hell,2001,6.8,54,146761,68.0
319,Spy Game,2001,7.1,63,145373,71.0
320,I Am Sam,2001,7.7,28,142794,77.0
321,The Princess Diaries,2001,6.3,52,128392,63.0
322,Shallow Hal,2001,5.9,48,127123,59.0
323,The Score,2001,6.8,71,121081,68.0
324,Evolution,2001,6.1,40,119343,61.0
325,Y tu mamá también,2001,7.6,88,115740,76.0
326,Ghost World,2001,7.3,88,113010,73.0
327,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,1659878,88.0
328,A Beautiful Mind,2001,8.2,72,847986,82.0
329,"Monsters, Inc.",2001,8.1,79,814823,81.0
330,Donnie Darko,2001,8.0,88,739511,80.0
331,Amélie,2001,8.3,69,703238,83.0
332,Harry Potter and the Sorcerer's Stone,2001,7.6,64,657296,76.0
333,Sen to Chihiro no kamikakushi,2001,8.6,96,650324,86.0
334,Shrek,2001,7.8,84,613454,78.0
335,Ocean's Eleven,2001,7.7,74,515935,77.0
336,Training Day,2001,7.7,69,389813,77.0
